deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Jeskai_Midrange,24,3.0833333333333335,0,0.0,16.0,8.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bant_megamorph,24,2.6944444444444446,0,4.0,18.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collected_company,24,2.4722222222222223,0,6.0,11.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtk_burn,20,1.8,0,16.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_b_devotion,24,3.1944444444444446,0,4.0,9.0,14.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
green_devotion,24,3.388888888888889,0,7.0,3.0,9.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
green_u_devotion,24,3.0555555555555554,0,10.0,4.0,8.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gu_morph,24,3.0277777777777777,0,7.0,11.0,4.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monogreen_aggro,21,2.0256410256410255,0,15.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outpost_burn,20,1.9,0,20.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sultai_whip,24,3.4166666666666665,0,3.0,11.0,9.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
temur_alpha_strike,24,2.638888888888889,0,7.0,9.0,12.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_ascendency,24,2.6944444444444446,0,8.0,6.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_ascendent_company,24,2.5833333333333335,0,4.0,12.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temur_countertempo,24,3.0833333333333335,0,1.0,8.0,18.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timewalker_bant,25,4.085714285714285,0,3.0,8.0,4.0,7.0,5.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
timewalker_dtk,26,4.470588235294118,0,0.0,6.0,11.0,0.0,6.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
ur_counterburn,26,3.676470588235294,0,0.0,16.0,6.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
warrior_tempo,24,2.888888888888889,0,4.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeskai_Midrange,24,3.0833333333333335,0,0.0,16.0,8.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bant_megamorph,24,2.6944444444444446,0,4.0,18.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collected_company,24,2.4722222222222223,0,6.0,11.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtk_burn,20,1.8,0,16.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_b_devotion,24,3.1944444444444446,0,4.0,9.0,14.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
green_devotion,24,3.388888888888889,0,7.0,3.0,9.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
green_u_devotion,24,3.0555555555555554,0,10.0,4.0,8.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gu_morph,24,3.0277777777777777,0,7.0,11.0,4.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monogreen_aggro,21,2.0256410256410255,0,15.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outpost_burn,20,1.9,0,20.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sultai_whip,24,3.4166666666666665,0,3.0,11.0,9.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
